,customer,state,response,coverage,education,effective_to_date,employment_status,gender,location_code,marital_status,renew_offer_type,sales_channel,vehicle_class,vehicle_size,policy_type,policy_number
26,US89481,California,No,Premium,Bachelor,2011-02-28,Unemployed,F,Suburban,Single,Offer1,Agent,Four-Door Car,Small,Personal,L3
27,HO30839,Washington,No,Extended,Master,2011-02-12,Disabled,F,Urban,Married,Offer1,Branch,SUV,Medsize,Corporate,L1
28,GE62437,Arizona,No,Premium,College,2011-02-02,Employed,F,Suburban,Single,Offer1,Call Center,Four-Door Car,Large,Personal,L3
29,EJ77678,Oregon,No,Extended,Master,2011-02-07,Employed,F,Suburban,Married,Offer2,Branch,Four-Door Car,Small,Personal,L3
30,SV85652,Arizona,No,Basic,College,2011-02-28,Employed,M,Suburban,Married,Offer4,Call Center,Four-Door Car,Small,Personal,L2
31,UL64533,Nevada,No,Extended,High School or Below,2011-01-22,Employed,M,Urban,Married,Offer2,Agent,Luxury SUV,Medsize,Corporate,L2
32,PF41800,California,No,Basic,Bachelor,2011-01-25,Unemployed,M,Urban,Married,Offer1,Call Center,Four-Door Car,Medsize,Personal,L3
33,AO98601,Washington,No,Basic,Bachelor,2011-01-18,Employed,M,Suburban,Married,Offer1,Agent,Two-Door Car,Small,Corporate,L2
34,SK67821,Oregon,No,Basic,Bachelor,2011-02-13,Employed,F,Rural,Married,Offer3,Web,Four-Door Car,Medsize,Corporate,L1
35,YV55495,Arizona,No,Basic,High School or Below,2011-01-15,Employed,F,Urban,Married,Offer1,Branch,Four-Door Car,Medsize,Personal,L1
36,KY38074,California,No,Premium,Bachelor,2011-01-08,Employed,M,Suburban,Married,Offer1,Agent,Four-Door Car,Small,Personal,L3
37,DM79012,Oregon,No,Extended,Master,2011-02-06,Employed,F,Suburban,Married,Offer2,Web,Four-Door Car,Small,Personal,L3
38,CM61827,Oregon,No,Extended,Bachelor,2011-01-25,Unemployed,M,Suburban,Single,Offer3,Agent,Two-Door Car,Small,Personal,L2
39,WC35801,Arizona,No,Basic,High School or Below,2011-02-07,Employed,M,Rural,Divorced,Offer1,Call Center,Four-Door Car,Medsize,Personal,L3
40,QG25316,Nevada,No,Basic,High School or Below,2011-01-18,Unemployed,F,Suburban,Married,Offer3,Call Center,Two-Door Car,Medsize,Corporate,L3
41,MB98372,Oregon,Yes,Basic,College,2011-01-11,Employed,F,Rural,Single,Offer2,Agent,Two-Door Car,Medsize,Corporate,L3
42,IL19217,California,Yes,Extended,Bachelor,2011-01-28,Employed,F,Suburban,Married,Offer2,Agent,Four-Door Car,Small,Personal,L2
43,SR38658,Arizona,No,Basic,High School or Below,2011-02-08,Employed,M,Suburban,Married,Offer4,Agent,Sports Car,Medsize,Personal,L2
44,DH41343,Washington,No,Basic,College,2011-02-23,Employed,M,Suburban,Married,Offer2,Call Center,Four-Door Car,Large,Special,L2
45,HG65722,Oregon,No,Premium,Doctor,2011-01-25,Disabled,F,Rural,Married,Offer1,Branch,SUV,Medsize,Personal,L2
46,BU27331,Arizona,No,Basic,Bachelor,2011-01-31,Unemployed,M,Suburban,Single,Offer3,Call Center,Four-Door Car,Medsize,Personal,L3
47,XM45289,Oregon,No,Basic,High School or Below,2011-01-02,Employed,F,Suburban,Single,Offer4,Agent,Two-Door Car,Medsize,Personal,L2
48,KP34198,California,No,Extended,Bachelor,2011-02-07,Unemployed,F,Suburban,Married,Offer2,Call Center,Four-Door Car,Medsize,Corporate,L2
49,SH90947,Arizona,No,Basic,High School or Below,2011-01-18,Unemployed,F,Suburban,Married,Offer4,Branch,Four-Door Car,Medsize,Personal,L2
50,WE95729,Oregon,No,Basic,College,2011-01-17,Employed,M,Suburban,Married,Offer1,Agent,SUV,Small,Personal,L2
51,PY51963,California,Yes,Basic,Bachelor,2011-01-11,Employed,F,Suburban,Divorced,Offer1,Web,SUV,Medsize,Corporate,L1
52,RB69909,Nevada,No,Basic,High School or Below,2011-02-21,Employed,F,Rural,Married,Offer4,Branch,Four-Door Car,Medsize,Special,L1
53,XR95069,Washington,No,Basic,Bachelor,2011-02-16,Employed,M,Suburban,Single,Offer4,Agent,Four-Door Car,Medsize,Personal,L3
54,FR46645,California,No,Premium,Bachelor,2011-01-17,Disabled,M,Suburban,Married,Offer1,Branch,Four-Door Car,Small,Personal,L2
55,SY17488,Arizona,No,Extended,College,2011-02-05,Employed,F,Suburban,Divorced,Offer3,Call Center,Four-Door Car,Small,Corporate,L3
56,AP67935,California,No,Basic,College,2011-02-13,Employed,M,Urban,Married,Offer2,Branch,Four-Door Car,Medsize,Special,L2
57,FS37417,Arizona,No,Basic,High School or Below,2011-02-23,Unemployed,F,Suburban,Married,Offer1,Call Center,SUV,Small,Personal,L2
58,ML29312,Oregon,No,Extended,High School or Below,2011-01-28,Disabled,F,Suburban,Divorced,Offer1,Call Center,SUV,Medsize,Personal,L3
59,UB61619,Oregon,No,Premium,Master,2011-02-28,Disabled,F,Suburban,Divorced,Offer1,Agent,Four-Door Car,Medsize,Personal,L1
60,CD86811,Arizona,Yes,Basic,Bachelor,2011-01-02,Retired,M,Suburban,Divorced,Offer1,Agent,Four-Door Car,Medsize,Personal,L1
61,RU83859,California,No,Premium,Bachelor,2011-01-22,Medical Leave,F,Suburban,Married,Offer1,Call Center,Two-Door Car,Small,Personal,L3
62,FG63582,Oregon,No,Extended,Bachelor,2011-01-15,Unemployed,M,Suburban,Single,Offer1,Agent,Two-Door Car,Small,Personal,L3
63,NN71951,California,No,Basic,High School or Below,2011-01-27,Employed,F,Rural,Married,Offer1,Agent,SUV,Medsize,Personal,L3
64,WB37082,Arizona,No,Basic,Bachelor,2011-01-23,Unemployed,F,Suburban,Single,Offer3,Branch,Four-Door Car,Large,Personal,L3
65,SM52139,Washington,No,Basic,College,2011-01-31,Employed,M,Suburban,Married,Offer3,Web,Four-Door Car,Medsize,Personal,L3
66,FL82372,Oregon,No,Basic,College,2011-01-26,Employed,F,Suburban,Divorced,Offer1,Agent,SUV,Medsize,Corporate,L3
67,DP45816,Arizona,No,Extended,High School or Below,2011-01-10,Employed,F,Urban,Married,Offer4,Branch,Two-Door Car,Small,Personal,L3
68,GW33762,Oregon,Yes,Extended,Bachelor,2011-01-27,Unemployed,F,Suburban,Divorced,Offer1,Call Center,Two-Door Car,Large,Personal,L3
69,RZ33670,California,No,Premium,College,2011-01-09,Disabled,F,Suburban,Married,Offer3,Web,Four-Door Car,Medsize,Personal,L3
70,PY70169,Oregon,No,Basic,High School or Below,2011-02-24,Employed,M,Rural,Divorced,Offer4,Agent,SUV,Medsize,Personal,L3
71,MO91628,Oregon,No,Basic,Master,2011-02-11,Employed,M,Rural,Married,Offer2,Web,Two-Door Car,Large,Personal,L2
72,HW87852,Oregon,No,Basic,Master,2011-02-12,Medical Leave,M,Suburban,Married,Offer1,Agent,Four-Door Car,Medsize,Personal,L1
73,HB20453,Oregon,No,Basic,Bachelor,2011-02-04,Unemployed,M,Suburban,Single,Offer1,Agent,Sports Car,Medsize,Personal,L3
74,BN87372,Oregon,Yes,Basic,Bachelor,2011-01-18,Employed,M,Suburban,Divorced,Offer2,Branch,Two-Door Car,Medsize,Personal,L3
75,YX23800,Oregon,No,Basic,Bachelor,2011-02-11,Employed,M,Suburban,Married,Offer2,Branch,Four-Door Car,Small,Personal,L3
76,DZ87709,Oregon,No,Basic,High School or Below,2011-02-01,Employed,F,Rural,Single,Offer2,Call Center,Four-Door Car,Medsize,Personal,L1
77,XW13033,Nevada,No,Basic,College,2011-02-15,Employed,M,Suburban,Married,Offer2,Agent,Four-Door Car,Medsize,Personal,L1
78,LN31673,Washington,No,Extended,College,2011-02-06,Employed,M,Rural,Married,Offer1,Agent,Four-Door Car,Medsize,Personal,L3
79,OM82309,California,No,Basic,Bachelor,2011-02-27,Employed,M,Rural,Single,Offer2,Branch,Luxury Car,Small,Personal,L3
80,ZU35962,California,No,Extended,College,2011-01-26,Unemployed,F,Rural,Single,Offer3,Branch,Two-Door Car,Large,Personal,L3
81,VH85817,California,Yes,Basic,High School or Below,2011-02-26,Employed,M,Suburban,Single,Offer2,Call Center,Four-Door Car,Medsize,Personal,L3
82,DT85712,California,No,Basic,Doctor,2011-01-27,Employed,M,Suburban,Married,Offer3,Branch,SUV,Medsize,Personal,L1
83,YJ88573,Nevada,No,Basic,Master,2011-01-16,Employed,M,Suburban,Married,Offer2,Call Center,Four-Door Car,Large,Personal,L3
84,SQ19467,Oregon,No,Extended,College,2011-01-27,Disabled,F,Suburban,Single,Offer2,Agent,Four-Door Car,Small,Personal,L3
85,HF88410,Washington,No,Basic,High School or Below,2011-02-28,Employed,M,Suburban,Married,Offer1,Call Center,Four-Door Car,Medsize,Personal,L2
86,ET79815,California,Yes,Extended,College,2011-01-25,Retired,M,Suburban,Married,Offer1,Agent,Four-Door Car,Medsize,Personal,L1
87,QC35222,California,No,Basic,Bachelor,2011-01-01,Employed,F,Urban,Married,Offer3,Web,Four-Door Car,Medsize,Corporate,L2
88,CJ15590,Oregon,No,Basic,Bachelor,2011-02-01,Employed,F,Suburban,Divorced,Offer3,Branch,Four-Door Car,Medsize,Personal,L2
89,OI48267,California,Yes,Extended,College,2011-02-19,Employed,M,Suburban,Married,Offer1,Branch,Four-Door Car,Medsize,Personal,L3
90,JY67916,Oregon,No,Premium,College,2011-01-27,Medical Leave,M,Suburban,Married,Offer2,Branch,Two-Door Car,Small,Personal,L3
91,OE75231,Washington,Yes,Extended,Bachelor,2011-02-27,Employed,F,Suburban,Married,Offer2,Call Center,Two-Door Car,Medsize,Corporate,L3
92,CZ33664,Oregon,No,Basic,Bachelor,2011-01-17,Employed,F,Rural,Married,Offer1,Agent,Four-Door Car,Medsize,Corporate,L3
93,WK30175,Oregon,No,Basic,Bachelor,2011-02-10,Employed,M,Suburban,Married,Offer1,Branch,Two-Door Car,Small,Corporate,L1
94,ON44465,California,No,Extended,High School or Below,2011-01-24,Unemployed,F,Suburban,Single,Offer1,Agent,Four-Door Car,Medsize,Personal,L2
95,TV87155,Oregon,No,Basic,Bachelor,2011-02-24,Employed,F,Suburban,Married,Offer1,Branch,Four-Door Car,Large,Personal,L3
96,KH48895,Arizona,No,Basic,Master,2011-02-15,Medical Leave,F,Rural,Married,Offer1,Branch,SUV,Medsize,Personal,L3
97,NZ30757,California,No,Basic,Bachelor,2011-02-16,Medical Leave,M,Suburban,Married,Offer1,Agent,Four-Door Car,Medsize,Personal,L2
98,RI22468,Arizona,No,Basic,Bachelor,2011-01-22,Employed,F,Urban,Married,Offer3,Web,Four-Door Car,Medsize,Personal,L1
99,FZ30935,Oregon,No,Extended,College,2011-02-25,Employed,M,Suburban,Married,Offer1,Agent,Two-Door Car,Small,Personal,L2
100,UG93476,California,Yes,Basic,College,2011-01-11,Unemployed,F,Suburban,Married,Offer1,Agent,SUV,Medsize,Personal,L3
101,AB96670,California,Yes,Basic,College,2011-01-31,Unemployed,M,Suburban,Single,Offer1,Branch,Four-Door Car,Medsize,Personal,L1
102,XK64261,Oregon,No,Basic,Bachelor,2011-01-12,Employed,M,Rural,Single,Offer3,Call Center,Two-Door Car,Medsize,Corporate,L3
103,EV68375,California,Yes,Premium,College,2011-02-16,Employed,M,Suburban,Married,Offer2,Branch,Four-Door Car,Medsize,Personal,L3
104,UN51653,California,No,Extended,High School or Below,2011-02-09,Unemployed,F,Suburban,Single,Offer1,Web,SUV,Medsize,Personal,L3
105,TO96662,Oregon,No,Extended,Bachelor,2011-01-19,Employed,F,Rural,Married,Offer1,Call Center,Four-Door Car,Small,Personal,L3
106,MR52087,California,No,Basic,Bachelor,2011-01-04,Employed,F,Rural,Married,Offer3,Branch,Four-Door Car,Medsize,Personal,L1
107,DE75225,Oregon,No,Basic,High School or Below,2011-01-09,Unemployed,M,Suburban,Married,Offer1,Agent,SUV,Medsize,Personal,L1
108,EP80820,California,No,Basic,Bachelor,2011-01-27,Employed,F,Rural,Married,Offer1,Agent,Two-Door Car,Medsize,Personal,L3
109,GU99037,Oregon,No,Basic,College,2011-02-14,Employed,M,Urban,Married,Offer4,Agent,Four-Door Car,Medsize,Corporate,L1
110,WI57118,California,No,Extended,College,2011-02-27,Employed,M,Suburban,Married,Offer4,Agent,Four-Door Car,Small,Personal,L3
111,YQ74870,Washington,No,Extended,High School or Below,2011-02-12,Employed,M,Suburban,Divorced,Offer2,Web,Four-Door Car,Small,Corporate,L2
112,MQ14219,Arizona,No,Basic,College,2011-02-26,Employed,M,Suburban,Married,Offer2,Branch,SUV,Medsize,Personal,L3
113,KN20603,Oregon,No,Basic,Bachelor,2011-02-20,Employed,M,Suburban,Single,Offer1,Agent,Four-Door Car,Medsize,Personal,L3
114,CR48975,Washington,No,Basic,High School or Below,2011-02-02,Employed,M,Suburban,Married,Offer4,Branch,Four-Door Car,Medsize,Personal,L2
115,JI70886,California,No,Basic,High School or Below,2011-02-15,Unemployed,M,Suburban,Married,Offer1,Agent,SUV,Medsize,Corporate,L2
116,VF72557,Oregon,Yes,Extended,High School or Below,2011-02-18,Retired,M,Suburban,Divorced,Offer2,Agent,SUV,Medsize,Personal,L3
117,OX28638,Arizona,No,Extended,High School or Below,2011-01-21,Employed,M,Suburban,Married,Offer2,Branch,Two-Door Car,Medsize,Personal,L3
118,SK55033,California,No,Basic,Bachelor,2011-01-15,Employed,F,Suburban,Single,Offer3,Agent,Two-Door Car,Medsize,Personal,L2
119,OO88645,California,No,Extended,College,2011-02-05,Employed,F,Urban,Married,Offer2,Call Center,Four-Door Car,Medsize,Corporate,L2
120,YT36855,Washington,No,Extended,College,2011-02-24,Unemployed,M,Suburban,Married,Offer3,Web,Two-Door Car,Medsize,Personal,L2
121,CW82151,California,No,Basic,Bachelor,2011-01-05,Employed,M,Rural,Married,Offer1,Call Center,Sports Car,Medsize,Personal,L3
122,DY22043,Oregon,No,Basic,High School or Below,2011-01-28,Employed,F,Suburban,Married,Offer3,Branch,Two-Door Car,Small,Personal,L3
123,SH36774,California,No,Basic,High School or Below,2011-01-12,Employed,M,Suburban,Single,Offer3,Web,Luxury SUV,Medsize,Personal,L3
124,EM43724,Nevada,No,Basic,Bachelor,2011-02-16,Employed,F,Rural,Married,Offer1,Agent,Four-Door Car,Medsize,Personal,L3
125,FH85960,Oregon,No,Premium,College,2011-01-03,Employed,M,Suburban,Divorced,Offer1,Call Center,Four-Door Car,Medsize,Personal,L2
126,XA55993,Oregon,No,Extended,Master,2011-02-07,Employed,F,Rural,Single,Offer2,Branch,Four-Door Car,Medsize,Personal,L3
127,GO36627,Arizona,No,Extended,College,2011-01-13,Employed,M,Urban,Married,Offer1,Branch,Four-Door Car,Medsize,Special,L2
128,QH48047,Oregon,Yes,Basic,College,2011-01-03,Retired,M,Suburban,Divorced,Offer2,Web,Four-Door Car,Medsize,Personal,L2
129,RB50392,Washington,No,Basic,Master,2011-02-17,Unemployed,F,Rural,Married,Offer2,Agent,Four-Door Car,Medsize,Personal,L1
130,UH65059,Arizona,No,Basic,High School or Below,2011-01-21,Employed,M,Suburban,Married,Offer1,Agent,Sports Car,Medsize,Personal,L3
131,FV21968,Nevada,No,Basic,Bachelor,2011-01-26,Employed,F,Rural,Married,Offer1,Branch,Four-Door Car,Medsize,Special,L2
132,QA87025,Oregon,No,Basic,Bachelor,2011-01-31,Employed,F,Urban,Married,Offer1,Call Center,Four-Door Car,Medsize,Personal,L3
133,TQ13499,Arizona,No,Premium,College,2011-01-02,Employed,M,Suburban,Married,Offer1,Agent,Four-Door Car,Small,Personal,L3
134,BU44523,Arizona,No,Basic,High School or Below,2011-02-07,Unemployed,F,Suburban,Single,Offer1,Web,Four-Door Car,Small,Corporate,L2
135,MS41162,Arizona,No,Basic,High School or Below,2011-01-26,Unemployed,M,Suburban,Single,Offer1,Agent,SUV,Medsize,Personal,L3
136,PU25891,Oregon,No,Basic,High School or Below,2011-01-11,Employed,F,Rural,Married,Offer1,Branch,Sports Car,Medsize,Special,L2
137,RB81636,Washington,No,Basic,College,2011-01-15,Unemployed,F,Suburban,Single,Offer2,Agent,Four-Door Car,Small,Personal,L2
138,SX26335,Oregon,No,Extended,College,2011-02-08,Employed,F,Urban,Married,Offer4,Branch,Four-Door Car,Medsize,Personal,L3
139,AZ95587,Arizona,No,Extended,Bachelor,2011-01-11,Employed,F,Urban,Single,Offer3,Branch,Four-Door Car,Small,Special,L3
140,DS81757,Oregon,No,Basic,College,2011-01-09,Unemployed,M,Suburban,Single,Offer4,Web,Two-Door Car,Large,Personal,L1
141,OJ94107,Arizona,No,Premium,Master,2011-02-04,Employed,M,Urban,Married,Offer1,Call Center,SUV,Medsize,Personal,L2
142,LP84436,California,No,Extended,High School or Below,2011-01-21,Unemployed,F,Suburban,Single,Offer3,Branch,Sports Car,Medsize,Personal,L2
143,YV64727,Washington,No,Premium,High School or Below,2011-02-16,Employed,M,Suburban,Married,Offer3,Agent,SUV,Medsize,Corporate,L3
144,LM19287,Oregon,Yes,Extended,High School or Below,2011-02-24,Unemployed,F,Suburban,Married,Offer1,Agent,Four-Door Car,Large,Personal,L1
145,ZU18643,Nevada,No,Extended,Bachelor,2011-01-18,Employed,M,Urban,Married,Offer4,Web,Four-Door Car,Medsize,Corporate,L2
146,AZ82578,California,No,Basic,College,2011-01-30,Unemployed,F,Suburban,Married,Offer1,Call Center,Four-Door Car,Medsize,Corporate,L3
147,XC67861,Arizona,No,Basic,Bachelor,2011-01-09,Employed,F,Suburban,Divorced,Offer1,Call Center,Two-Door Car,Medsize,Corporate,L2
148,YC43143,Arizona,No,Extended,High School or Below,2011-02-01,Employed,F,Rural,Married,Offer2,Web,Four-Door Car,Medsize,Personal,L3
149,EK59571,Oregon,Yes,Premium,College,2011-02-28,Unemployed,M,Suburban,Married,Offer1,Branch,Four-Door Car,Large,Corporate,L2
150,GD83998,Washington,No,Basic,Bachelor,2011-01-31,Employed,M,Suburban,Single,Offer4,Branch,Four-Door Car,Small,Personal,L2
151,WA25797,Washington,Yes,Basic,High School or Below,2011-02-17,Employed,M,Rural,Married,Offer2,Agent,Sports Car,Medsize,Personal,L3
152,PD27940,Arizona,No,Extended,High School or Below,2011-02-12,Disabled,M,Suburban,Married,Offer4,Agent,SUV,Medsize,Personal,L3
153,BS77946,Arizona,No,Extended,Bachelor,2011-02-24,Medical Leave,F,Rural,Married,Offer1,Branch,SUV,Medsize,Personal,L1
154,YM50253,California,No,Basic,Bachelor,2011-02-01,Employed,F,Urban,Single,Offer2,Branch,Four-Door Car,Medsize,Personal,L3
155,NR15332,California,No,Basic,High School or Below,2011-02-06,Employed,M,Suburban,Married,Offer2,Web,Four-Door Car,Small,Personal,L2
156,RC62865,Oregon,No,Extended,College,2011-01-23,Employed,M,Rural,Single,Offer3,Agent,Four-Door Car,Medsize,Personal,L2
157,CC15295,Oregon,No,Extended,Bachelor,2011-01-21,Employed,F,Suburban,Married,Offer2,Agent,Four-Door Car,Small,Personal,L2
158,KA61892,Arizona,Yes,Basic,College,2011-01-20,Retired,M,Suburban,Married,Offer2,Agent,Sports Car,Medsize,Personal,L3
159,OS94884,Arizona,No,Basic,Bachelor,2011-01-06,Employed,F,Rural,Married,Offer1,Web,Two-Door Car,Large,Personal,L2
160,ND87334,California,No,Basic,High School or Below,2011-02-22,Unemployed,M,Suburban,Married,Offer2,Agent,Two-Door Car,Medsize,Corporate,L3
161,ML93326,Washington,No,Basic,College,2011-02-27,Employed,F,Urban,Married,Offer1,Agent,SUV,Medsize,Personal,L1
162,YL74911,California,Yes,Basic,College,2011-02-21,Unemployed,F,Suburban,Divorced,Offer1,Agent,SUV,Medsize,Personal,L3
163,JP69864,Washington,Yes,Basic,Bachelor,2011-01-29,Retired,F,Suburban,Single,Offer1,Branch,Four-Door Car,Medsize,Personal,L1
164,HL53154,California,No,Extended,Bachelor,2011-02-22,Unemployed,M,Suburban,Single,Offer1,Agent,Four-Door Car,Medsize,Personal,L3
165,RI78966,Oregon,No,Basic,Master,2011-02-21,Medical Leave,M,Suburban,Married,Offer1,Agent,Four-Door Car,Small,Personal,L3
166,IC13702,California,No,Basic,Bachelor,2011-01-10,Unemployed,F,Suburban,Single,Offer1,Agent,Four-Door Car,Small,Personal,L3
167,BE10809,California,Yes,Basic,High School or Below,2011-01-18,Unemployed,F,Suburban,Single,Offer1,Agent,Four-Door Car,Small,Personal,L1
168,HT87217,Oregon,No,Extended,High School or Below,2011-01-16,Employed,F,Urban,Divorced,Offer3,Agent,Four-Door Car,Medsize,Personal,L2
169,TH95618,California,No,Basic,High School or Below,2011-01-06,Unemployed,F,Suburban,Married,Offer1,Agent,Four-Door Car,Medsize,Personal,L2
170,TS19868,California,No,Basic,College,2011-01-27,Medical Leave,M,Suburban,Married,Offer4,Branch,Four-Door Car,Medsize,Personal,L1
171,LP45550,Oregon,No,Premium,Doctor,2011-01-15,Disabled,F,Urban,Divorced,Offer2,Agent,Four-Door Car,Medsize,Personal,L3
172,QR87004,Nevada,No,Basic,College,2011-01-09,Employed,F,Rural,Divorced,Offer3,Agent,Four-Door Car,Medsize,Personal,L3
173,OE75747,Nevada,No,Basic,College,2011-01-28,Unemployed,F,Suburban,Married,Offer3,Agent,Four-Door Car,Small,Personal,L2
174,DX91392,California,Yes,Basic,High School or Below,2011-02-26,Employed,M,Suburban,Single,Offer2,Call Center,Four-Door Car,Medsize,Personal,L2
175,AB72731,California,No,Basic,Bachelor,2011-01-04,Employed,F,Rural,Married,Offer2,Call Center,Sports Car,Medsize,Personal,L2
176,RU49126,Washington,No,Basic,College,2011-02-01,Employed,F,Rural,Married,Offer2,Agent,SUV,Medsize,Personal,L2
177,IS12901,Arizona,No,Basic,Bachelor,2011-01-27,Employed,F,Urban,Married,Offer2,Call Center,Two-Door Car,Medsize,Personal,L3
178,IX37561,Washington,No,Basic,College,2011-02-14,Unemployed,F,Suburban,Single,Offer3,Web,Two-Door Car,Medsize,Personal,L3
179,HH90090,California,No,Basic,Bachelor,2011-01-23,Employed,F,Suburban,Divorced,Offer2,Call Center,Sports Car,Small,Personal,L2
180,IU25463,California,No,Premium,Bachelor,2011-02-18,Unemployed,F,Suburban,Married,Offer1,Agent,Four-Door Car,Medsize,Personal,L2
181,KC11055,Nevada,No,Extended,Bachelor,2011-01-24,Employed,F,Suburban,Married,Offer3,Branch,Luxury Car,Medsize,Personal,L3
182,PD33979,Oregon,No,Basic,High School or Below,2011-02-18,Employed,M,Suburban,Married,Offer2,Branch,Four-Door Car,Large,Personal,L2
183,NK71023,Nevada,No,Extended,Bachelor,2011-01-19,Employed,M,Suburban,Single,Offer4,Agent,Four-Door Car,Small,Personal,L2
184,AB13432,California,No,Basic,Bachelor,2011-01-04,Unemployed,M,Suburban,Single,Offer1,Agent,SUV,Medsize,Personal,L3
185,OZ97704,California,No,Basic,High School or Below,2011-02-07,Employed,F,Suburban,Single,Offer3,Call Center,SUV,Small,Personal,L3
186,UF46533,California,No,Basic,College,2011-01-30,Employed,F,Suburban,Single,Offer2,Branch,SUV,Medsize,Corporate,L3
187,XP47431,Arizona,Yes,Extended,Bachelor,2011-02-17,Employed,F,Suburban,Married,Offer2,Agent,SUV,Medsize,Personal,L1
188,GK73582,California,No,Extended,Bachelor,2011-01-13,Employed,F,Urban,Single,Offer3,Branch,Four-Door Car,Medsize,Personal,L1
189,RV98763,Oregon,No,Extended,College,2011-02-08,Employed,M,Urban,Married,Offer3,Branch,Four-Door Car,Medsize,Personal,L3
190,II62831,California,No,Basic,Master,2011-01-29,Employed,M,Urban,Married,Offer4,Web,SUV,Medsize,Special,L2
191,XK33449,California,No,Basic,High School or Below,2011-02-05,Unemployed,F,Suburban,Single,Offer4,Branch,Two-Door Car,Small,Special,L3
192,TR85083,California,No,Basic,Bachelor,2011-01-20,Employed,M,Suburban,Married,Offer2,Branch,Two-Door Car,Medsize,Personal,L3
